id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12717444,Appartement & jardin au Diablerets,69147821,Michel,Aigle,Ormont-Dessus,46.35087,7.16862,Entire home/apt,,7,0,,,1,0,0,
12730550,Schlicht und einfach praktisch,69222627,Lorena,Lausanne,Lausanne,46.54211,6.65684,Private room,,1,0,,,1,0,0,
12841971,Appartement 2p dans le Vieux-Bourg,67451479,Marc,Morges,Saint-Prex,46.48118,6.4603,Entire home/apt,199,2,27,2024-02-02,0.28,2,279,8,
12859703,Green oasis view lake,839687,Marie,Riviera-Pays-d'Enhaut,Blonay,46.46288,6.88455,Entire home/apt,100,7,4,2019-06-07,0.04,1,78,0,
12864350,Cozy room in beautiful apartment!,4710037,Alexandra,Lausanne,Lausanne,46.53389,6.6239,Private room,90,2,9,2023-07-16,0.10,3,283,1,
12867904,"Villa  cozy, tranquilité absolue",70359219,Andrei,Lausanne,Lausanne,46.52579,6.66082,Entire home/apt,,7,0,,,1,0,0,
12867928,Bright loft with 3 balconies and view on the lake,46216003,Roberto,Lausanne,Lausanne,46.5319,6.61868,Entire home/apt,,3,40,2020-01-23,0.57,1,0,0,
12877318,"Un logement convivial, calme et bien situé",64540090,Mandira,Lausanne,Lausanne,46.52565,6.62191,Shared room,,1,0,,,1,0,0,
12885357,Studio dans le Vieux-Bourg,67451479,Marc,Morges,Saint-Prex,46.47923,6.45783,Entire home/apt,150,2,23,2024-02-11,0.30,2,272,4,
12900176,Panoramique vue lac Plein Sud Wifi garage parking,70661458,Philippe,Riviera-Pays-d'Enhaut,Chardonne,46.4803,6.82355,Entire home/apt,145,5,77,2024-02-09,1.01,1,332,19,
12916417,Cosy nest in Vevey's historical center,4764914,Olivier,Riviera-Pays-d'Enhaut,Vevey,46.45989903259655,6.8441365337295546,Entire home/apt,260,2,9,2024-01-01,0.59,1,249,7,
12926827,Chambre chez l'habitant Nyon,70942074,Christopher,Nyon,Nyon,46.38968,6.23812,Private room,,1,0,,,1,0,0,
12948426,Logement au Diablerets,71126744,Florence,Aigle,Ormont-Dessus,46.35059,7.15725,Entire home/apt,120,6,26,2023-09-08,0.30,1,321,3,
